Gender,Age,City,Working Professional or Student,Profession,Work Pressure,Job Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Male,50.0,Rajkot,Working Professional,Content Writer,1.0,2.0,Less than 5 hours,Moderate,PhD,No,0.0,1.0,No,0
Male,57.0,Kolkata,Working Professional,Manager,4.0,4.0,Less than 5 hours,Healthy,BHM,No,10.0,1.0,No,0
Male,40.0,Pune,Working Professional,Accountant,1.0,5.0,More than 8 hours,Healthy,B.Com,No,8.0,2.0,No,0
Male,46.0,Patna,Working Professional,Architect,1.0,4.0,7-8 hours,Moderate,B.Arch,Yes,10.0,5.0,Yes,0
Female,40.0,Mumbai,Working Professional,Mechanical Engineer,5.0,1.0,Less than 5 hours,Moderate,PhD,No,5.0,3.0,Yes,1
Male,40.0,Mumbai,Working Professional,Sales Executive,1.0,3.0,5-6 hours,Moderate,B.Com,Yes,0.0,1.0,No,0
Male,46.0,Kolkata,Working Professional,Entrepreneur,1.0,3.0,7-8 hours,Healthy,M.Tech,Yes,5.0,3.0,No,0
Male,43.0,Mumbai,Working Professional,Teacher,1.0,4.0,More than 8 hours,Unhealthy,B.Ed,Yes,4.0,5.0,No,0
Male,24.0,Rajkot,Student,,,,7-8 hours,Healthy,M.Tech,Yes,8.0,4.0,Yes,1
Female,49.0,Ahmedabad,Working Professional,Chef,4.0,1.0,7-8 hours,Unhealthy,MHM,Yes,9.0,1.0,No,0
Male,52.0,Pune,Working Professional,Content Writer,1.0,3.0,7-8 hours,Unhealthy,B.Ed,Yes,0.0,5.0,Yes,0
Male,29.0,Agra,Working Professional,,2.0,3.0,Less than 5 hours,Unhealthy,Class 12,Yes,3.0,3.0,Yes,1
Female,46.0,Visakhapatnam,Working Professional,Content Writer,4.0,4.0,More than 8 hours,Healthy,M.Tech,No,0.0,1.0,No,0
Female,51.0,Pune,Working Professional,Content Writer,1.0,2.0,More than 8 hours,Unhealthy,M.Ed,No,8.0,2.0,Yes,0
Female,20.0,Pune,Student,,,,More than 8 hours,Unhealthy,Class 12,Yes,10.0,3.0,No,1
Female,49.0,Indore,Working Professional,Teacher,1.0,4.0,More than 8 hours,Healthy,LLM,No,9.0,5.0,Yes,0
Male,32.0,Patna,Working Professional,Content Writer,2.0,5.0,Less than 5 hours,Moderate,M.Tech,No,0.0,1.0,Yes,0
Female,20.0,Agra,Working Professional,,5.0,1.0,5-6 hours,Moderate,Class 12,No,12.0,3.0,No,0
Male,58.0,Visakhapatnam,Working Professional,Lawyer,1.0,3.0,Less than 5 hours,Unhealthy,LLM,Yes,7.0,3.0,Yes,0
Female,51.0,Meerut,Working Professional,Architect,1.0,3.0,More than 8 hours,Moderate,MCA,No,7.0,2.0,No,0
Male,34.0,Pune,Student,,,,More than 8 hours,Moderate,MCA,Yes,0.0,5.0,No,0
Female,38.0,Chennai,Working Professional,Travel Consultant,2.0,3.0,5-6 hours,Healthy,MHM,No,1.0,2.0,No,0
Male,31.0,Kanpur,Student,,,,Less than 5 hours,Moderate,BBA,No,12.0,4.0,Yes,1
Female,52.0,Visakhapatnam,Working Professional,Teacher,5.0,5.0,7-8 hours,Healthy,M.Ed,Yes,5.0,1.0,Yes,0
Male,22.0,Indore,Student,,,,7-8 hours,Moderate,B.Sc,Yes,2.0,2.0,No,0
Male,52.0,Pune,Working Professional,Travel Consultant,5.0,3.0,5-6 hours,Moderate,BHM,No,0.0,2.0,No,0
Male,55.0,Kanpur,Working Professional,Researcher,3.0,3.0,Less than 5 hours,Moderate,B.Sc,No,2.0,2.0,Yes,0
Female,41.0,Thane,Working Professional,Pharmacist,1.0,1.0,5-6 hours,Healthy,B.Pharm,No,1.0,1.0,Yes,0
Female,28.0,Mumbai,Student,,,,7-8 hours,Moderate,B.Tech,No,12.0,4.0,Yes,1
Male,25.0,Vadodara,Working Professional,Content Writer,1.0,2.0,Less than 5 hours,Unhealthy,M.Ed,Yes,1.0,3.0,Yes,0
Female,55.0,Visakhapatnam,Working Professional,Educational Consultant,4.0,4.0,5-6 hours,Unhealthy,B.Ed,No,7.0,5.0,Yes,0
Male,19.0,Srinagar,Working Professional,,2.0,5.0,Less than 5 hours,Unhealthy,Class 12,No,1.0,5.0,Yes,0
Male,19.0,Varanasi,Student,,,,5-6 hours,Healthy,Class 12,No,10.0,2.0,Yes,1
Male,53.0,Ahmedabad,Working Professional,Lawyer,4.0,1.0,5-6 hours,Moderate,LLM,Yes,0.0,5.0,No,0
Female,57.0,Kolkata,Working Professional,Plumber,1.0,3.0,More than 8 hours,Healthy,M.Sc,No,6.0,3.0,No,0
Male,31.0,Patna,Student,,,,More than 8 hours,Unhealthy,M.Pharm,No,10.0,4.0,No,1
Male,46.0,Surat,Working Professional,Teacher,4.0,3.0,5-6 hours,Healthy,M.Pharm,Yes,0.0,4.0,Yes,0
Female,44.0,Ahmedabad,Working Professional,Teacher,4.0,2.0,7-8 hours,Unhealthy,BA,No,0.0,4.0,No,0
Male,35.0,Bhopal,Working Professional,HR Manager,1.0,2.0,7-8 hours,Unhealthy,PhD,No,12.0,5.0,Yes,0
Male,51.0,Rajkot,Working Professional,Teacher,4.0,2.0,7-8 hours,Healthy,B.Ed,No,0.0,1.0,No,0
Male,34.0,Hyderabad,Student,,,,More than 8 hours,Healthy,MD,Yes,4.0,1.0,Yes,0
Female,54.0,Varanasi,Working Professional,Entrepreneur,5.0,1.0,5-6 hours,Moderate,BE,No,1.0,2.0,Yes,0
Female,38.0,Ludhiana,Working Professional,HR Manager,5.0,2.0,5-6 hours,Moderate,PhD,No,11.0,4.0,No,0
Male,51.0,Surat,Working Professional,HR Manager,3.0,4.0,Less than 5 hours,Healthy,BBA,No,5.0,1.0,Yes,0
Female,47.0,Thane,Working Professional,Entrepreneur,1.0,3.0,7-8 hours,Healthy,B.Tech,Yes,8.0,5.0,Yes,0
Male,39.0,Varanasi,Working Professional,Judge,1.0,1.0,7-8 hours,Healthy,LLM,No,2.0,4.0,No,0
Male,42.0,Thane,Working Professional,Teacher,4.0,5.0,7-8 hours,Unhealthy,LLM,No,12.0,4.0,No,1
Male,46.0,Patna,Working Professional,,5.0,2.0,5-6 hours,Unhealthy,Class 12,Yes,6.0,5.0,Yes,1
Female,18.0,Ahmedabad,Working Professional,Business Analyst,5.0,3.0,More than 8 hours,Healthy,BBA,No,10.0,4.0,Yes,0
Male,56.0,Surat,Working Professional,Pharmacist,1.0,4.0,More than 8 hours,Healthy,MD,Yes,6.0,2.0,No,0
Male,55.0,Meerut,Working Professional,Investment Banker,5.0,5.0,5-6 hours,Moderate,MBA,No,12.0,2.0,No,0
Male,58.0,Ludhiana,Working Professional,Civil Engineer,1.0,4.0,More than 8 hours,Unhealthy,M.Sc,Yes,9.0,4.0,Yes,0
Female,51.0,Patna,Working Professional,Pharmacist,2.0,1.0,Less than 5 hours,Unhealthy,M.Pharm,No,11.0,4.0,No,0
Male,35.0,Mumbai,Working Professional,Teacher,2.0,2.0,7-8 hours,Healthy,LLB,No,3.0,2.0,No,0
Male,33.0,Kanpur,Student,,,,More than 8 hours,Unhealthy,M.Tech,No,1.0,4.0,Yes,0
Male,27.0,Nashik,Working Professional,Teacher,2.0,2.0,Less than 5 hours,Unhealthy,LLB,Yes,0.0,1.0,No,0
Male,28.0,Visakhapatnam,Student,,,,7-8 hours,Moderate,MBA,Yes,6.0,2.0,No,1
Male,29.0,Visakhapatnam,Student,,,,Less than 5 hours,Unhealthy,BCA,Yes,5.0,3.0,No,1
Female,34.0,Thane,Working Professional,Pilot,4.0,4.0,7-8 hours,Healthy,M.Tech,No,10.0,4.0,No,0
Female,21.0,Visakhapatnam,Working Professional,Teacher,3.0,1.0,Less than 5 hours,Moderate,LLB,Yes,3.0,5.0,Yes,1
Male,52.0,Patna,Working Professional,Marketing Manager,4.0,4.0,5-6 hours,Healthy,M.Com,No,4.0,3.0,No,0
Female,35.0,Kanpur,Working Professional,Teacher,2.0,5.0,5-6 hours,Unhealthy,MA,Yes,4.0,3.0,No,0
Male,60.0,Visakhapatnam,Working Professional,Financial Analyst,5.0,3.0,7-8 hours,Moderate,MBA,No,11.0,2.0,No,0
Male,19.0,Bangalore,Working Professional,,3.0,1.0,5-6 hours,Moderate,Class 12,Yes,0.0,3.0,Yes,0
Male,53.0,Varanasi,Working Professional,Teacher,1.0,4.0,Less than 5 hours,Moderate,LLM,No,0.0,1.0,Yes,0
Male,46.0,Kolkata,Working Professional,Plumber,2.0,4.0,7-8 hours,Moderate,PhD,No,4.0,1.0,Yes,0
Male,44.0,Jaipur,Working Professional,UX/UI Designer,4.0,4.0,Less than 5 hours,Unhealthy,B.Tech,No,4.0,3.0,No,0
Female,47.0,Jaipur,Working Professional,Pharmacist,3.0,3.0,7-8 hours,Moderate,B.Pharm,Yes,8.0,5.0,Yes,0
Female,33.0,Pune,Working Professional,Doctor,3.0,1.0,7-8 hours,Healthy,MBBS,Yes,12.0,5.0,No,0
Male,49.0,Patna,Working Professional,,1.0,5.0,7-8 hours,Healthy,Class 12,Yes,2.0,5.0,No,0
Female,51.0,Kolkata,Working Professional,HR Manager,4.0,3.0,Less than 5 hours,Moderate,B.Sc,No,2.0,2.0,Yes,0
Male,31.0,Indore,Working Professional,Teacher,5.0,3.0,7-8 hours,Healthy,M.Ed,Yes,0.0,2.0,No,0
Female,45.0,Vadodara,Working Professional,Customer Support,2.0,3.0,Less than 5 hours,Healthy,M.Com,Yes,8.0,5.0,No,0
Male,41.0,Kolkata,Working Professional,Accountant,4.0,4.0,5-6 hours,Healthy,M.Com,No,0.0,4.0,No,0
Female,49.0,Meerut,Working Professional,Sales Executive,2.0,5.0,More than 8 hours,Healthy,B.Com,No,9.0,2.0,Yes,0
Female,56.0,Pune,Working Professional,Content Writer,3.0,2.0,5-6 hours,Moderate,B.Ed,No,1.0,3.0,No,0
Male,23.0,Lucknow,Student,,,,More than 8 hours,Moderate,MBBS,Yes,9.0,2.0,Yes,1
Female,27.0,Patna,Student,,,,Less than 5 hours,Moderate,BHM,Yes,12.0,5.0,Yes,1
Male,57.0,Rajkot,Working Professional,Teacher,1.0,2.0,7-8 hours,Moderate,B.Arch,No,4.0,2.0,No,0
Female,45.0,Jaipur,Working Professional,Consultant,4.0,4.0,5-6 hours,Healthy,PhD,Yes,9.0,3.0,No,0
Male,29.0,Vasai-Virar,Working Professional,HR Manager,1.0,4.0,7-8 hours,Unhealthy,MA,No,12.0,2.0,Yes,0
Male,60.0,Kalyan,Working Professional,Teacher,2.0,3.0,More than 8 hours,Unhealthy,B.Arch,Yes,2.0,4.0,Yes,0
Female,19.0,Pune,Student,,,,7-8 hours,Healthy,Class 12,No,9.0,1.0,Yes,0
Female,50.0,Ahmedabad,Working Professional,Software Engineer,3.0,3.0,7-8 hours,Healthy,B.Tech,No,1.0,3.0,No,0
Male,46.0,Kalyan,Working Professional,Researcher,1.0,1.0,More than 8 hours,Healthy,BCA,No,2.0,1.0,No,0
Male,31.0,Lucknow,Student,,,,Less than 5 hours,Healthy,LLB,No,4.0,5.0,Yes,0
Male,25.0,Agra,Working Professional,Doctor,1.0,2.0,7-8 hours,Unhealthy,MBBS,No,11.0,4.0,No,0
Male,20.0,Faridabad,Working Professional,,4.0,2.0,Less than 5 hours,Unhealthy,Class 12,No,9.0,4.0,Yes,1
Female,51.0,Patna,Working Professional,Content Writer,3.0,1.0,More than 8 hours,Unhealthy,B.Ed,No,12.0,5.0,Yes,0
Male,36.0,Bangalore,Working Professional,Business Analyst,4.0,1.0,More than 8 hours,Healthy,BCA,Yes,11.0,2.0,Yes,1
Male,38.0,Pune,Working Professional,Data Scientist,5.0,3.0,Less than 5 hours,Healthy,BCA,No,10.0,2.0,No,0
Male,59.0,Srinagar,Working Professional,Accountant,5.0,3.0,7-8 hours,Healthy,B.Com,No,10.0,5.0,No,0
Female,60.0,Kolkata,Working Professional,Financial Analyst,4.0,1.0,Less than 5 hours,Moderate,M.Sc,Yes,11.0,2.0,Yes,0
Male,55.0,Indore,Working Professional,Accountant,2.0,2.0,Less than 5 hours,Moderate,B.Com,Yes,7.0,2.0,Yes,0
Male,56.0,Surat,Working Professional,Pilot,1.0,2.0,5-6 hours,Moderate,MCA,No,5.0,5.0,No,0
Male,48.0,Ghaziabad,Working Professional,Teacher,3.0,3.0,7-8 hours,Moderate,MD,No,3.0,2.0,No,0
Female,28.0,Lucknow,Student,,,,More than 8 hours,Unhealthy,LLB,Yes,8.0,5.0,Yes,1
Male,51.0,Delhi,Working Professional,Content Writer,3.0,3.0,Less than 5 hours,Unhealthy,M.Ed,No,10.0,1.0,No,0
Male,51.0,Kanpur,Working Professional,Marketing Manager,5.0,1.0,7-8 hours,Healthy,BA,Yes,3.0,1.0,No,0
Female,23.0,Nagpur,Working Professional,Consultant,2.0,2.0,Less than 5 hours,Healthy,BCA,No,5.0,3.0,No,0
Male,50.0,Lucknow,Working Professional,Electrician,3.0,1.0,More than 8 hours,Healthy,B.Sc,No,5.0,3.0,Yes,0
Male,47.0,Varanasi,Working Professional,Marketing Manager,1.0,4.0,5-6 hours,Healthy,B.Com,No,4.0,5.0,No,0
Male,41.0,Indore,Working Professional,Civil Engineer,5.0,3.0,More than 8 hours,Healthy,B.Tech,No,10.0,1.0,No,0
Male,60.0,Vadodara,Working Professional,Teacher,5.0,4.0,7-8 hours,Unhealthy,B.Arch,No,12.0,2.0,Yes,0
Female,48.0,Ahmedabad,Working Professional,Plumber,2.0,4.0,More than 8 hours,Healthy,BE,Yes,10.0,1.0,No,0
Female,56.0,Ghaziabad,Working Professional,Sales Executive,4.0,1.0,5-6 hours,Healthy,B.Sc,Yes,9.0,5.0,Yes,0
Female,47.0,Hyderabad,Working Professional,Marketing Manager,5.0,3.0,Less than 5 hours,Unhealthy,B.Sc,No,9.0,2.0,No,0
Male,48.0,Lucknow,Working Professional,Pharmacist,4.0,4.0,7-8 hours,Moderate,B.Pharm,No,3.0,4.0,Yes,0
Female,51.0,Rajkot,Working Professional,Civil Engineer,1.0,5.0,7-8 hours,Healthy,B.Sc,Yes,6.0,2.0,No,0
Male,33.0,Kanpur,Working Professional,Architect,1.0,1.0,7-8 hours,Moderate,B.Arch,Yes,11.0,1.0,Yes,0
Male,45.0,Agra,Working Professional,Teacher,2.0,4.0,More than 8 hours,Healthy,B.Arch,No,11.0,1.0,Yes,0
Female,39.0,Ludhiana,Working Professional,Chemist,3.0,3.0,Less than 5 hours,Unhealthy,MD,Yes,0.0,2.0,Yes,0
Male,56.0,Bangalore,Working Professional,Sales Executive,3.0,3.0,More than 8 hours,Unhealthy,M.Com,No,2.0,4.0,Yes,0
Male,26.0,Kalyan,Student,,,,Less than 5 hours,Healthy,BCA,Yes,11.0,4.0,No,1
Male,48.0,Meerut,Working Professional,Teacher,5.0,1.0,More than 8 hours,Healthy,M.Ed,Yes,3.0,3.0,No,0
Female,18.0,Thane,Working Professional,,3.0,1.0,Less than 5 hours,Moderate,Class 12,Yes,10.0,4.0,Yes,1
Female,51.0,Indore,Working Professional,Chemist,5.0,2.0,7-8 hours,Unhealthy,B.Pharm,Yes,3.0,3.0,No,0
Male,47.0,Ahmedabad,Working Professional,Business Analyst,4.0,1.0,Less than 5 hours,Healthy,BBA,Yes,11.0,5.0,No,0
Female,46.0,Ludhiana,Working Professional,Plumber,5.0,2.0,Less than 5 hours,Healthy,PhD,Yes,8.0,1.0,No,0
Female,27.0,Srinagar,Student,,,,5-6 hours,Unhealthy,B.Arch,Yes,11.0,1.0,No,0
Male,39.0,Agra,Working Professional,Manager,5.0,5.0,Less than 5 hours,Moderate,BHM,Yes,9.0,2.0,Yes,0
Female,25.0,Faridabad,Working Professional,Teacher,1.0,1.0,More than 8 hours,Unhealthy,B.Sc,Yes,3.0,5.0,No,1
Male,42.0,Bhopal,Working Professional,Doctor,3.0,5.0,7-8 hours,Moderate,MD,No,11.0,2.0,No,0
Female,36.0,Bhopal,Working Professional,Data Scientist,5.0,1.0,More than 8 hours,Unhealthy,BCA,Yes,7.0,5.0,Yes,0
Female,56.0,Bangalore,Working Professional,Teacher,3.0,2.0,5-6 hours,Healthy,LLM,Yes,9.0,2.0,No,0
Female,56.0,Kolkata,Working Professional,Data Scientist,4.0,2.0,More than 8 hours,Moderate,B.Tech,No,9.0,3.0,Yes,0
Female,26.0,Visakhapatnam,Working Professional,Pharmacist,1.0,5.0,5-6 hours,Moderate,B.Pharm,No,0.0,3.0,Yes,0
Male,36.0,Lucknow,Working Professional,Plumber,1.0,3.0,5-6 hours,Moderate,M.Sc,No,10.0,3.0,Yes,0
Female,38.0,Kalyan,Working Professional,Customer Support,1.0,2.0,Less than 5 hours,Moderate,BA,Yes,7.0,3.0,Yes,0
Male,47.0,Visakhapatnam,Working Professional,Customer Support,2.0,1.0,More than 8 hours,Healthy,M.Com,No,9.0,3.0,No,0
Male,21.0,Thane,Working Professional,HR Manager,5.0,2.0,7-8 hours,Unhealthy,BA,Yes,1.0,4.0,No,1
Male,25.0,Ahmedabad,Working Professional,Doctor,3.0,3.0,Less than 5 hours,Unhealthy,M.Pharm,Yes,12.0,4.0,No,1
Female,59.0,Varanasi,Working Professional,Architect,5.0,1.0,5-6 hours,Unhealthy,B.Arch,Yes,12.0,5.0,No,0
Male,50.0,Surat,Working Professional,Manager,5.0,3.0,7-8 hours,Healthy,MHM,No,0.0,2.0,No,0
Male,42.0,Faridabad,Working Professional,Civil Engineer,4.0,1.0,More than 8 hours,Healthy,B.Sc,Yes,3.0,4.0,No,0
Male,27.0,Jaipur,Student,,,,More than 8 hours,Moderate,B.Tech,No,12.0,3.0,Yes,0
Female,41.0,Thane,Working Professional,Architect,3.0,2.0,7-8 hours,Healthy,BCA,No,7.0,2.0,Yes,0
Male,24.0,Lucknow,Student,,,,Less than 5 hours,Unhealthy,Class 12,Yes,6.0,1.0,Yes,0
Female,58.0,Varanasi,Working Professional,Entrepreneur,2.0,1.0,5-6 hours,Healthy,MBA,No,12.0,1.0,No,0
Female,34.0,Vasai-Virar,Student,,,,More than 8 hours,Unhealthy,BCA,Yes,6.0,5.0,No,1
Female,56.0,Visakhapatnam,Working Professional,Teacher,2.0,4.0,7-8 hours,Moderate,B.Pharm,No,10.0,1.0,No,0
Female,52.0,Vasai-Virar,Working Professional,Business Analyst,3.0,4.0,7-8 hours,Moderate,M.Tech,Yes,5.0,2.0,Yes,0
Female,50.0,Ahmedabad,Working Professional,Researcher,5.0,2.0,Less than 5 hours,Healthy,BE,Yes,2.0,2.0,Yes,0
Female,50.0,Bhopal,Working Professional,Chef,1.0,2.0,7-8 hours,Unhealthy,MHM,Yes,2.0,4.0,No,0
Female,24.0,Kanpur,Student,,,,5-6 hours,Unhealthy,BA,Yes,12.0,2.0,Yes,1
Female,59.0,Jaipur,Working Professional,Teacher,2.0,4.0,5-6 hours,Unhealthy,MD,No,1.0,5.0,No,0
Male,42.0,Mumbai,Working Professional,Teacher,3.0,5.0,Less than 5 hours,Healthy,M.Tech,Yes,7.0,2.0,Yes,0
Male,31.0,Varanasi,Student,,,,More than 8 hours,Moderate,M.Com,Yes,2.0,5.0,No,0
Male,53.0,Visakhapatnam,Working Professional,Chef,3.0,4.0,7-8 hours,Healthy,BHM,Yes,1.0,4.0,Yes,0
Male,43.0,Kolkata,Working Professional,Chemist,1.0,4.0,Less than 5 hours,Unhealthy,B.Pharm,No,6.0,3.0,No,0
Male,42.0,Meerut,Working Professional,Financial Analyst,5.0,5.0,7-8 hours,Healthy,B.Tech,No,2.0,1.0,No,0
Female,49.0,Surat,Working Professional,Financial Analyst,1.0,4.0,7-8 hours,Unhealthy,PhD,Yes,9.0,1.0,Yes,0
Male,20.0,Srinagar,Student,,,,More than 8 hours,Unhealthy,Class 12,Yes,8.0,4.0,Yes,1
Female,28.0,Patna,Student,,,,5-6 hours,Unhealthy,B.Ed,No,9.0,5.0,No,1
Male,32.0,Bangalore,Student,,,,5-6 hours,Healthy,MBA,Yes,11.0,4.0,Yes,1
Female,51.0,Varanasi,Working Professional,Judge,1.0,1.0,5-6 hours,Moderate,LLM,Yes,5.0,2.0,No,0
Female,56.0,Ludhiana,Working Professional,Teacher,3.0,1.0,5-6 hours,Unhealthy,B.Pharm,No,12.0,3.0,Yes,0
Female,28.0,Kolkata,Student,,,,5-6 hours,Unhealthy,BHM,No,7.0,2.0,No,0
Male,52.0,Patna,Working Professional,Marketing Manager,1.0,1.0,Less than 5 hours,Healthy,BA,No,2.0,1.0,No,0
Female,41.0,Delhi,Working Professional,UX/UI Designer,4.0,1.0,7-8 hours,Healthy,B.Tech,Yes,10.0,2.0,No,0
Female,55.0,Delhi,Working Professional,UX/UI Designer,4.0,3.0,7-8 hours,Moderate,MCA,Yes,0.0,2.0,Yes,0
Male,47.0,Vasai-Virar,Working Professional,Consultant,4.0,5.0,5-6 hours,Unhealthy,B.Sc,No,3.0,3.0,Yes,0
Male,60.0,Ghaziabad,Working Professional,Electrician,4.0,1.0,7-8 hours,Moderate,PhD,Yes,7.0,4.0,No,0
Male,56.0,Rajkot,Working Professional,UX/UI Designer,3.0,5.0,More than 8 hours,Moderate,M.Tech,Yes,7.0,4.0,Yes,0
Male,39.0,Agra,Working Professional,Financial Analyst,3.0,2.0,7-8 hours,Moderate,MCA,No,4.0,1.0,Yes,0
Female,28.0,Delhi,Student,,,,Less than 5 hours,Unhealthy,B.Arch,No,10.0,1.0,No,0
Male,56.0,Indore,Working Professional,,3.0,4.0,More than 8 hours,Moderate,Class 12,No,8.0,4.0,No,0
Female,19.0,Ahmedabad,Student,,,,Less than 5 hours,Healthy,Class 12,Yes,3.0,4.0,Yes,1
Male,18.0,Ahmedabad,Working Professional,,5.0,4.0,Less than 5 hours,Healthy,Class 12,Yes,10.0,1.0,Yes,1
Male,48.0,Lucknow,Working Professional,Lawyer,3.0,4.0,Less than 5 hours,Moderate,LLB,No,1.0,2.0,No,0
Male,39.0,Delhi,Working Professional,HR Manager,4.0,4.0,7-8 hours,Healthy,M.Tech,No,9.0,3.0,Yes,0
Female,58.0,Meerut,Working Professional,Teacher,2.0,4.0,More than 8 hours,Healthy,M.Ed,Yes,12.0,5.0,No,0
Male,37.0,Vadodara,Working Professional,Financial Analyst,4.0,1.0,Less than 5 hours,Unhealthy,B.Com,Yes,12.0,3.0,No,1
Male,39.0,Thane,Working Professional,Teacher,4.0,2.0,Less than 5 hours,Moderate,BHM,No,2.0,3.0,Yes,0
Male,55.0,Chennai,Working Professional,Lawyer,2.0,3.0,More than 8 hours,Healthy,LLB,Yes,1.0,3.0,No,0
Male,37.0,Agra,Working Professional,Financial Analyst,5.0,3.0,7-8 hours,Moderate,B.Sc,No,9.0,3.0,Yes,0
Female,39.0,Delhi,Working Professional,Teacher,3.0,1.0,More than 8 hours,Moderate,MD,Yes,6.0,2.0,Yes,0
Male,21.0,Varanasi,Student,,,,5-6 hours,Unhealthy,B.Arch,No,9.0,5.0,No,0
Male,45.0,Rajkot,Working Professional,Teacher,2.0,3.0,More than 8 hours,Moderate,LLM,No,11.0,2.0,No,0
Female,51.0,Meerut,Working Professional,Content Writer,1.0,2.0,More than 8 hours,Moderate,M.Ed,No,2.0,2.0,Yes,0
Male,41.0,Vasai-Virar,Working Professional,Plumber,3.0,3.0,Less than 5 hours,Unhealthy,MCA,No,10.0,3.0,No,0
Female,43.0,Pune,Working Professional,UX/UI Designer,4.0,2.0,Less than 5 hours,Healthy,B.Sc,No,4.0,2.0,Yes,0
Male,49.0,Nagpur,Working Professional,Teacher,4.0,5.0,Less than 5 hours,Unhealthy,B.Arch,Yes,12.0,2.0,Yes,0
Male,41.0,Nashik,Working Professional,UX/UI Designer,4.0,2.0,7-8 hours,Moderate,B.Sc,No,0.0,4.0,Yes,0
Female,54.0,Chennai,Working Professional,Teacher,2.0,5.0,Less than 5 hours,Moderate,MBA,No,4.0,3.0,No,0
Female,53.0,Ghaziabad,Working Professional,Entrepreneur,3.0,4.0,More than 8 hours,Healthy,BBA,Yes,10.0,1.0,No,0
Female,30.0,Ludhiana,Student,,,,5-6 hours,Healthy,M.Pharm,No,2.0,4.0,Yes,0
Male,34.0,Kalyan,Student,,,,More than 8 hours,Moderate,M.Ed,No,0.0,1.0,Yes,0
Female,29.0,Rajkot,Student,,,,Less than 5 hours,Moderate,B.Ed,No,9.0,2.0,Yes,0
Female,49.0,Patna,Working Professional,Software Engineer,3.0,5.0,More than 8 hours,Unhealthy,B.Tech,No,9.0,2.0,Yes,0
Male,27.0,Vasai-Virar,Student,,,,More than 8 hours,Unhealthy,M.Com,No,4.0,2.0,No,0
Female,58.0,Varanasi,Working Professional,Architect,1.0,1.0,5-6 hours,Moderate,B.Arch,No,10.0,4.0,No,0
Female,36.0,Faridabad,Working Professional,Educational Consultant,2.0,2.0,5-6 hours,Unhealthy,B.Ed,No,9.0,4.0,No,0
Female,44.0,Faridabad,Working Professional,Marketing Manager,3.0,2.0,Less than 5 hours,Unhealthy,BA,Yes,12.0,3.0,No,0
Female,54.0,Kolkata,Working Professional,Architect,2.0,4.0,5-6 hours,Moderate,B.Arch,Yes,5.0,2.0,Yes,0
Female,31.0,Indore,Student,,,,5-6 hours,Moderate,LLB,No,8.0,3.0,No,0
Male,55.0,Kolkata,Working Professional,Content Writer,3.0,4.0,7-8 hours,Moderate,M.Ed,Yes,9.0,4.0,No,0
Male,33.0,Srinagar,Student,,,,More than 8 hours,Unhealthy,MCA,No,1.0,1.0,Yes,0
Female,31.0,Agra,Student,,,,5-6 hours,Healthy,B.Com,Yes,11.0,5.0,Yes,1
Male,43.0,Srinagar,Working Professional,HR Manager,1.0,2.0,More than 8 hours,Unhealthy,M.Tech,No,10.0,2.0,Yes,0
Female,29.0,Hyderabad,Student,,,,5-6 hours,Healthy,MCA,Yes,12.0,5.0,Yes,1
Male,37.0,Rajkot,Working Professional,Chemist,4.0,3.0,5-6 hours,Healthy,M.Pharm,Yes,8.0,2.0,No,0
Female,38.0,Ludhiana,Working Professional,Architect,2.0,3.0,5-6 hours,Healthy,B.Sc,No,6.0,2.0,Yes,0
Female,18.0,Indore,Working Professional,,5.0,3.0,7-8 hours,Healthy,Class 12,Yes,2.0,4.0,Yes,1
Male,42.0,Faridabad,Working Professional,Teacher,4.0,5.0,7-8 hours,Unhealthy,B.Ed,Yes,5.0,4.0,No,0
Female,56.0,Patna,Working Professional,Researcher,4.0,1.0,More than 8 hours,Moderate,B.Tech,Yes,9.0,4.0,Yes,0
Male,40.0,Ghaziabad,Working Professional,Content Writer,5.0,3.0,Less than 5 hours,Unhealthy,BA,No,11.0,3.0,Yes,0
Male,24.0,Patna,Student,,,,5-6 hours,Moderate,MBBS,Yes,11.0,5.0,No,1
Female,51.0,Kalyan,Working Professional,Educational Consultant,5.0,4.0,Less than 5 hours,Healthy,B.Ed,Yes,4.0,3.0,No,0
Male,53.0,Bangalore,Working Professional,Plumber,2.0,2.0,7-8 hours,Moderate,B.Sc,No,9.0,1.0,No,0
Male,48.0,Hyderabad,Working Professional,Marketing Manager,3.0,3.0,More than 8 hours,Moderate,B.Com,No,6.0,5.0,Yes,0
Male,27.0,Hyderabad,Student,,,,7-8 hours,Unhealthy,B.Tech,Yes,5.0,5.0,Yes,1
Female,45.0,Delhi,Working Professional,Teacher,2.0,1.0,Less than 5 hours,Moderate,LLM,No,4.0,2.0,Yes,0
Male,37.0,Mumbai,Working Professional,Travel Consultant,5.0,4.0,5-6 hours,Healthy,BHM,No,0.0,5.0,Yes,0
Male,21.0,Ahmedabad,Student,,,,5-6 hours,Healthy,MCA,Yes,4.0,1.0,Yes,1
Female,30.0,Lucknow,Student,,,,More than 8 hours,Unhealthy,M.Sc,Yes,6.0,2.0,Yes,1
